pkey,subkey,augment,augmentProfile,input,generate,contextDict,expoutput,inputDict
surabhigupta#Deliverable 2A#ChatGPT2,1#0,FALSE,,"What is the industrial Revolution?
",FALSE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#1,TRUE,"{'method': 'random word swap', 'subkey': '1#0'}",What Revolution? the industrial is,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#2,TRUE,"{'method': 'random word delete', 'subkey': '1#0'}",is the Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#3,TRUE,"{'method': 'random word insert', 'subkey': '1#0'}",What is the industrial Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#4,TRUE,"{'method': 'random char insert', 'subkey': '1#0'}",WhPat is the industrial Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#5,TRUE,"{'method': 'synonym augmentation', 'subkey': '1#0'}",What is the industrial Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#6,TRUE,"{'method': 'ocr augmentation', 'subkey': '1#0'}",What i8 the industrial Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#7,TRUE,"{'method': 'keyboard augmentation', 'subkey': '1#0'}",What is the industrial Revol8Yi8n?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#8,TRUE,"{'method': 'random char swap', 'subkey': '1#0'}",What is the industrial Revoluoitn?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,1#9,TRUE,"{'method': 'random char delete', 'subkey': '1#0'}",What is the idusril Revolution?,TRUE,"{'OS': 'Windows', 'Browser': 'Chrome', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Pass', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'Who'}
surabhigupta#Deliverable 2A#ChatGPT2,10#0,FALSE,,Who started the industrial revolution?,FALSE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
surabhigupta#Deliverable 2A#ChatGPT2,10#1,TRUE,"{'method': 'random word swap', 'subkey': '10#0'}",Who revolution? the industrial started,TRUE,"{'OS': 'Windows', 'Browser': 'Bing', 'User Type': 'Student'}","{'Industrial Revolution.What': 'Pass', 'Industrial Revolution.When': 'Pass', 'Industrial Revolution.Who': 'Fail', 'Industrial Revolution.Where': 'Pass'}",{'Industrial Revolution': 'What'}
